"A1_S5";"A1_S6";"A2_S6";"A2_S7";"A3_S7";"A3_S8";"E1_S8";"E1_S9";"E1_SG_S15";"E2_S10";"E2_S9";"E2_SG_S16";"E3_SG_S17";"TP1a_S_S6";"TP1a_S14";"TP1a_S16";"TP1b_S_S7";"TP1b_S15";"TP1b_S17";"TP1c_S_S10";"TP2a_S_S8";"TP2a_S16";"TP2a_S18";"TP2b_S_S9";"TP2b_S17";"TP2b_S19";"TP2c_S_S11";"W1_S10";"W1_S11";"W1_SG_S12";"W2_S11";"W2_S13";"W2_SG_S13";"W3_SG_S14";"WA3_S12";"WA3_S14";"WE_S13";"WE_S15";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4004";"0";"3";"13";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"0";"0";"0";"0";"0";"0";"10";"33";"12";"6";"3";"11";"1";"990";"0";"0";"1";"0";"0";"2";"0";"0";"0";"5";"0";"0";"2869";"3";"0";"0";"0";"2";"1";"2";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Olleya";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA
"0";"0";"0";"1";"0";"1";"0";"0";"45";"2332";"844";"20";"4";"216";"0";"1";"39";"4";"8";"87";"29";"14";"84";"7";"0";"0";"145";"1";"8";"0";"4";"8";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Phaeobacter"
"8";"12";"11";"30";"11";"11";"27";"97";"280";"62";"27";"414";"205";"220";"43";"77";"322";"64";"165";"689";"57";"41";"197";"519";"3";"33";"111";"24";"40";"1";"22";"52";"5";"4";"0";"0";"0";"4";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"1";"2";"0";"3";"0";"1";"143";"638";"946";"0";"0";"67";"473";"1";"4";"8";"21";"305";"807";"11";"2";"17";"221";"1";"0";"0";"33";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"0";"1";"0";"0";"0";"0";"2";"9";"4";"22";"22";"3";"0";"6";"0";"1";"7";"1";"7";"1";"6";"2";"6";"4";"1";"0";"6";"500";"965";"50";"576";"1218";"55";"73";"0";"0";"2";"3";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio"
"219";"419";"213";"405";"238";"480";"0";"0";"17";"0";"1";"35";"3";"74";"0";"2";"120";"19";"31";"100";"467";"0";"1";"521";"3";"10";"10";"5";"18";"7";"2";"5";"1";"0";"0";"0";"1";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Ruegeria";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Ruegeria"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"826";"0";"0";"2";"0";"0";"0";"0";"2";"18";"2";"0";"0";"2515";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"2";"0";"0";"0";"130";"228";"415";"137";"270";"939";"600";"0";"0";"228";"385";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Synechococcales";"Cyanobiaceae";"Synechococcus_CC9902";"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Synechococcales";"Cyanobiaceae";"Synechococcus_CC9902"
"1347";"1978";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Planctomycetota";"OM190";NA;NA;NA;"Bacteria";"Planctomycetes";"OM190";NA;NA;NA
